asin,keyword,match_type,date,impressions,clicks,cpc,ad_spend,attributed_sales,attributed_units,acos
LKN-Gummies01,naturacare naturals gummies,PHRASE,2026-01-13,1,1,9.59,9.59,0.00,0,0.00
LKN-Gummies01,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,1105,21,18.71,318.09,580.61,1,54.79
LKN-HGOIL-200ML,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,523,2,12.07,24.14,0.00,0,0.00
LKN-HGOIL-200ML,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,48,2,6.77,13.54,0.00,0,0.00
LKN-HGOIL-200ML,hair oil,BROAD,2026-01-13,2,1,2.77,2.77,0.00,0,0.00
LKN-HGOIL-200ML,naturacare hair,PHRASE,2026-01-13,10,2,2.99,5.97,0.00,0,0.00
LKN-HGOIL-200ML,naturacare hair oil,BROAD,2026-01-13,84,6,4.52,22.61,1043.83,2,2.17
LKN-HGOIL-200ML,naturacare naturals,PHRASE,2026-01-13,286,5,4.53,18.57,1043.80,1,1.78
LKN-HGOIL-200ML,naturacare naturals,BROAD,2026-01-13,115,1,9.91,8.92,0.00,0,0.00
LKN-HGOIL-200ML,natural hair oil,BROAD,2026-01-13,33,2,14.32,28.63,0.00,0,0.00
LKN-HGOIL-200ML,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,4,1,9.66,9.66,0.00,0,0.00
LKN-Redensyl serum,hair growth serum,PHRASE,2026-01-13,12,1,12.67,12.67,0.00,0,0.00
LKN-Redensyl serum,redensyl serum,BROAD,2026-01-13,2,2,7.82,15.65,0.00,0,0.00
LKN-Weight-GAIN01,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,898,8,23.80,163.79,383.91,1,42.66
LKN-Weight-GAIN01,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,174,1,34.46,27.37,0.00,0,0.00
LKN-Weight-GAIN01,naturacare naturals,BROAD,2026-01-13,123,2,36.73,52.89,0.00,0,0.00
LKN-Weight-GAIN01,naturacare naturals,PHRASE,2026-01-13,306,8,16.78,110.10,0.00,0,0.00
LKN-Weight-GAIN01,naturacare naturals weight gain powder,EXACT,2026-01-13,32,20,3.09,49.42,2348.60,5,2.10
LKN-Weight-GAIN01,naturacare weight gain powder,EXACT,2026-01-13,37,5,3.51,14.04,1043.83,2,1.35
LKN-Weight-GAIN01,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,51,2,20.11,26.62,203.25,1,13.09
LKN-Weight-GAIN01,weight gain,BROAD,2026-01-13,25,2,17.15,34.30,0.00,0,0.00
LKN-Weight-GAIN01,weight gain powder,EXACT,2026-01-13,44,2,48.87,97.75,0.00,0,0.00
LKN-Weight-GAIN01,weight gain powder,PHRASE,2026-01-13,747,17,26.77,374.85,1761.46,4,21.28
LKN-Weight-GAIN01,weight gain powder naturacare,EXACT,2026-01-13,1,1,9.01,9.01,0.00,0,0.00
LKN-Weight-GAIN02,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,798,24,15.77,301.43,725.14,1,41.57
LKN-Weight-GAIN02,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,154,3,22.83,50.37,0.00,0,0.00
LKN-Weight-GAIN02,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,46,5,13.32,48.98,383.91,1,12.76
QP-AMD8-Y9KH,naturacare naturals,PHRASE,2026-01-13,227,1,25.39,20.82,0.00,0,0.00
QP-AMD8-Y9KH,naturacare naturals,BROAD,2026-01-13,91,0,55.57,10.00,0.00,0,0.00
Slim01,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,2031,146,9.78,1164.13,14058.82,26,8.28
Slim01,naturacare naturals weight loss powder,BROAD,2026-01-13,160,2,27.25,44.59,2606.92,2,1.71
Slim01,naturacare weight loss powder,BROAD,2026-01-13,173,3,13.82,32.67,0.00,0,0.00
Slim01,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,6,6,6.01,30.03,0.00,0,0.00
Slim01,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,488,11,10.77,96.90,1370.00,2,7.07
Slim01,weight loss powder,PHRASE,2026-01-13,3,1,7.20,3.60,0.00,0,0.00
Slim01,weight loss powder,BROAD,2026-01-13,2,1,22.75,11.37,0.00,0,0.00
Slim01,weight loss products,PHRASE,2026-01-13,56,1,8.29,8.29,0.00,0,0.00
Slim02,belly fat burner,EXACT,2026-01-13,387,1,65.42,65.42,0.00,0,0.00
Slim02,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,7255,177,20.22,2911.88,26754.00,26,10.88
Slim02,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,6,1,31.84,31.84,0.00,0,0.00
Slim02,naturacare naturals,PHRASE,2026-01-13,128,2,4.14,6.78,1303.45,1,0.52
Slim02,naturacare naturals,BROAD,2026-01-13,52,0,9.05,3.26,0.00,0,0.00
Slim02,naturacare naturals weight loss powder,BROAD,2026-01-13,257,5,23.92,104.39,0.00,0,0.00
Slim02,naturacare weight loss powder,BROAD,2026-01-13,102,4,15.40,56.01,0.00,0,0.00
Slim02,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,4764,58,30.56,1436.13,1988.46,2,72.22
Slim02,weight loss powder,BROAD,2026-01-13,2,1,41.09,20.55,0.00,0,0.00
Slim02,weight loss powder,PHRASE,2026-01-13,2,1,13.00,6.50,0.00,0,0.00
Slim02,weight loss products,PHRASE,2026-01-13,47,1,14.97,14.97,0.00,0,0.00
sunscreendrops50ml,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,6,1,9.11,6.07,0.00,0,0.00
sunscreendrops50ml,naturacare naturals,PHRASE,2026-01-13,217,2,20.64,33.85,0.00,0,0.00
sunscreendrops50ml,naturacare naturals,BROAD,2026-01-13,87,0,45.17,16.26,0.00,0,0.00
sunscreendrops50ml,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,1,0,3.41,1.14,0.00,0,0.00
sunscreendrops50ml,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,17,1,9.96,9.96,0.00,0,0.00
XA-UIID-K1KF,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,14,0,14.46,2.76,0.00,0,0.00
XA-UIID-K1KF,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,62,0,15.09,5.75,0.00,0,0.00
XA-UIID-K1KF,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,3,0,11.98,4.57,0.00,0,0.00
XA-UIID-K1KF,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,166,1,19.03,19.93,0.00,0,0.00
Y0-LR81-7OHE,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,11,1,8.60,9.83,0.00,0,0.00
Y0-LR81-7OHE,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,49,3,8.98,20.52,0.00,0,0.00
Y0-LR81-7OHE,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,2,3,7.13,16.29,0.00,0,0.00
Y0-LR81-7OHE,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-13,130,8,11.32,71.15,0.00,0,0.00
07-IRQL-T5BS,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,21,4,14.30,45.76,0.00,0,0.00
07-IRQL-T5BS,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1,1,9.69,7.76,0.00,0,0.00
09-NY8V-51DZ,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,8,1,8.83,5.48,0.00,0,0.00
09-NY8V-51DZ,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,5,1,14.23,13.25,0.00,0,0.00
09-NY8V-51DZ,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,3,3,9.43,23.42,449.57,1,5.21
09-NY8V-51DZ,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,176,6,10.31,51.19,136.27,0,37.57
54-N90S-Z2EK,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,47,3,27.52,65.67,293.70,1,22.36
54-N90S-Z2EK,naturacare natural,PHRASE,2026-01-14,854,6,15.27,76.34,0.00,0,0.00
54-N90S-Z2EK,naturacare naturals,BROAD,2026-01-14,60,1,21.01,24.51,209.85,0,11.68
54-N90S-Z2EK,naturacare naturals,PHRASE,2026-01-14,521,11,12.90,113.98,1610.27,2,7.08
54-N90S-Z2EK,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,347,26,12.28,263.73,1846.03,4,14.29
54-N90S-Z2EK,nalangu maavu,BROAD,2026-01-14,493,23,12.69,241.20,2583.27,6,9.34
54-N90S-Z2EK,nalangu maavu,EXACT,2026-01-14,124,6,20.04,100.22,516.65,1,19.40
54-N90S-Z2EK,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,960,14,5.63,62.65,611.88,1,10.24
6A-X1F7-F5Q6,naturacare naturals,PHRASE,2026-01-14,653,12,9.27,90.06,0.00,0,0.00
6A-X1F7-F5Q6,naturacare naturals,BROAD,2026-01-14,76,2,15.09,19.37,0.00,0,0.00
6A-X1F7-F5Q6,naturacare saffron night gel,PHRASE,2026-01-14,4,2,3.12,6.23,0.00,0,0.00
6A-X1F7-F5Q6,saffron gel,PHRASE,2026-01-14,5,1,19.15,19.15,0.00,0,0.00
6A-X1F7-F5Q6,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1,1,7.10,7.10,0.00,0,0.00
6Z-V54C-G5K5,naturacare naturals,BROAD,2026-01-14,53,1,32.28,18.83,54.15,0,34.77
6Z-V54C-G5K5,naturacare naturals,PHRASE,2026-01-14,456,5,19.83,87.58,415.56,1,21.07
abcmalt-200g,abc malt powder,EXACT,2026-01-14,831,9,18.67,130.67,0.00,0,0.00
abcmalt-200g,abc mix powder,PHRASE,2026-01-14,433,1,14.84,14.84,0.00,0,0.00
abcmalt-200g,abc mix powder,EXACT,2026-01-14,875,2,34.04,68.09,0.00,0,0.00
abcmalt-200g,abc powder,PHRASE,2026-01-14,1,1,17.76,17.76,0.00,0,0.00
abcmalt-200g,abc powder,EXACT,2026-01-14,105,2,28.02,56.05,585.84,1,9.57
abcmalt-200g,naturacare abc malt powder,EXACT,2026-01-14,149,4,10.66,31.98,0.00,0,0.00
abcmalt-200g,naturacare naturals,PHRASE,2026-01-14,326,2,18.52,32.71,0.00,0,0.00
abcmalt-200g,naturacare naturals,BROAD,2026-01-14,38,0,30.14,7.03,0.00,0,0.00
abcmalt-200g,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1,1,9.89,9.89,0.00,0,0.00
abcmalt-200g,malt powder,PHRASE,2026-01-14,443,15,14.45,173.46,527.12,1,32.91
AE-3VXL-VU22,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,12,1,10.91,8.73,0.00,0,0.00
AE-3VXL-VU22,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,0,0,14.60,5.84,0.00,0,0.00
AE-3VXL-VU22,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,11,2,13.17,21.07,0.00,0,0.00
AE-3VXL-VU22,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,4,1,8.90,10.68,0.00,0,0.00
B0-BVJJ-KPBN,shampoo,PHRASE,2026-01-14,4,2,19.18,38.36,0.00,0,0.00
CA-AE0J-5F22,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,12,0,15.76,3.15,0.00,0,0.00
CA-AE0J-5F22,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,0,0,21.09,2.11,0.00,0,0.00
CA-AE0J-5F22,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,11,0,19.02,7.61,0.00,0,0.00
CA-AE0J-5F22,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,5,0,12.86,3.86,0.00,0,0.00
CJ-HXDG-X2A4,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,8,1,13.12,13.12,0.00,0,0.00
CJ-HXDG-X2A4,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,0,1,17.56,8.78,0.00,0,0.00
CJ-HXDG-X2A4,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,7,2,15.84,31.68,0.00,0,0.00
CJ-HXDG-X2A4,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,3,2,10.71,16.06,0.00,0,0.00
F4-YFRN-XJE0,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,15,1,29.05,17.83,35.10,0,50.80
F4-YFRN-XJE0,naturacare naturals,BROAD,2026-01-14,77,1,14.70,12.00,112.82,0,10.64
F4-YFRN-XJE0,naturacare naturals,PHRASE,2026-01-14,666,8,9.03,55.81,865.74,2,6.45
F4-YFRN-XJE0,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,112,7,12.96,71.59,220.59,1,32.45
F4-YFRN-XJE0,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,311,4,5.94,17.01,73.12,0,23.26
FR-PG20-IO18,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,4,0,5.49,1.14,0.00,0,0.00
FR-PG20-IO18,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,3,0,8.85,2.75,0.00,0,0.00
FR-PG20-IO18,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1,1,5.87,4.85,1483.19,4,0.33
FR-PG20-IO18,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,89,2,6.41,10.61,449.57,1,2.36
HD001,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,4178,22,21.49,386.86,1370.01,4,28.24
HD001,hair dye,PHRASE,2026-01-14,9,1,10.93,10.93,0.00,0,0.00
HD001,henna hair dye,BROAD,2026-01-14,16,5,21.19,84.75,0.00,0,0.00
HD001,naturacare hair,PHRASE,2026-01-14,3156,6,27.12,135.59,913.35,1,14.85
HD001,naturacare hair dye,EXACT,2026-01-14,875,6,12.68,63.40,0.00,0,0.00
HD001,naturacare natural hair dye black,EXACT,2026-01-14,81,2,13.04,26.08,456.66,1,5.71
HD001,naturacare naturals,PHRASE,2026-01-14,158,2,14.38,25.40,0.00,0,0.00
HD001,naturacare naturals,BROAD,2026-01-14,18,0,23.41,5.46,0.00,0,0.00
HD001,naturacare naturals hair dye,EXACT,2026-01-14,107,20,9.51,152.22,1370.03,4,11.11
HD001,laxmi  natural hair dye,EXACT,2026-01-14,2,2,3.37,6.74,0.00,0,0.00
HD001,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,10,6,12.85,64.23,0.00,0,0.00
HD001,natural hair dye,BROAD,2026-01-14,28,1,12.54,12.54,0.00,0,0.00
HD001,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1,1,12.47,12.47,0.00,0,0.00
LH-QRXG-BC86,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1,1,23.19,11.59,0.00,0,0.00
LH-QRXG-BC86,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,0,1,11.86,5.93,0.00,0,0.00
LKN-AS-02,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,14,1,9.69,7.76,0.00,0,0.00
LKN-AS-02,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,0,0,6.57,1.31,0.00,0,0.00
LKN-Gummies01,gummy hair growth,EXACT,2026-01-14,251,1,50.02,50.02,0.00,0,0.00
LKN-Gummies01,naturacare biotin hair gummies,PHRASE,2026-01-14,2,1,11.48,11.48,0.00,0,0.00
LKN-Gummies01,naturacare gummies,EXACT,2026-01-14,14,1,11.19,11.19,0.00,0,0.00
LKN-Gummies01,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1,1,8.60,8.60,0.00,0,0.00
LKN-Gummies01,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,982,20,20.57,329.10,1161.21,2,28.34
LKN-HGOIL-200ML,hair growth oil,PHRASE,2026-01-14,15,2,14.49,28.98,0.00,0,0.00
LKN-HGOIL-200ML,naturacare hair,PHRASE,2026-01-14,1,1,8.86,8.86,0.00,0,0.00
LKN-HGOIL-200ML,naturacare hair oil,BROAD,2026-01-14,49,9,4.42,30.96,469.72,1,6.59
LKN-HGOIL-200ML,naturacare naturals,BROAD,2026-01-14,40,1,18.12,10.57,0.00,0,0.00
LKN-HGOIL-200ML,naturacare naturals,PHRASE,2026-01-14,346,5,11.13,49.15,0.00,0,0.00
LKN-HGOIL-200ML,naturacare oil,PHRASE,2026-01-14,6,2,1.78,3.56,521.92,1,0.68
LKN-HGOIL-200ML,natural hair oil,BROAD,2026-01-14,102,1,15.34,15.34,0.00,0,0.00
LKN-HGOIL-200ML,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1,1,4.63,4.63,0.00,0,0.00
LKN-Redensyl serum,hair growth serum,PHRASE,2026-01-14,11,2,27.27,54.54,0.00,0,0.00
LKN-Redensyl serum,naturacare naturals,BROAD,2026-01-14,23,0,2.70,0.63,0.00,0,0.00
LKN-Redensyl serum,naturacare naturals,PHRASE,2026-01-14,196,2,1.66,2.93,0.00,0,0.00
LKN-Redensyl serum,naturacare naturals hair serum,EXACT,2026-01-14,1,1,9.93,9.93,0.00,0,0.00
LKN-Redensyl serum,redensyl serum,BROAD,2026-01-14,4,1,29.21,29.21,0.00,0,0.00
LKN-Weight-GAIN01,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1660,7,20.35,122.08,587.14,1,20.79
LKN-Weight-GAIN01,naturacare naturals,BROAD,2026-01-14,40,1,23.85,19.48,0.00,0,0.00
LKN-Weight-GAIN01,naturacare naturals,PHRASE,2026-01-14,347,8,14.65,90.58,0.00,0,0.00
LKN-Weight-GAIN01,naturacare naturals weight gain powder,EXACT,2026-01-14,38,25,2.12,42.47,7045.84,15,0.60
LKN-Weight-GAIN01,naturacare weight gain powder,EXACT,2026-01-14,11,2,2.38,4.77,0.00,0,0.00
LKN-Weight-GAIN01,laxmi  weight gain powder,EXACT,2026-01-14,10,1,2.48,2.48,587.15,1,0.42
LKN-Weight-GAIN01,weight gain,BROAD,2026-01-14,15,4,27.50,82.49,587.15,1,14.05
LKN-Weight-GAIN01,weight gain powder,EXACT,2026-01-14,52,4,46.08,138.25,0.00,0,0.00
LKN-Weight-GAIN01,weight gain powder,PHRASE,2026-01-14,777,15,26.21,314.48,1174.31,2,26.78
LKN-Weight-GAIN02,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1136,20,17.70,283.25,2218.08,2,12.77
MC-Q0EB-BKWT,naturacare,BROAD,2026-01-14,7,1,4.62,4.62,0.00,0,0.00
NC-W1A4-6XI4,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,3,1,12.44,12.44,0.00,0,0.00
NC-W1A4-6XI4,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,0,1,9.62,9.62,0.00,0,0.00
QP-AMD8-Y9KH,naturacare naturals,BROAD,2026-01-14,30,1,19.15,11.17,0.00,0,0.00
QP-AMD8-Y9KH,naturacare naturals,PHRASE,2026-01-14,263,5,11.76,51.96,0.00,0,0.00
Slim01,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,2490,154,8.99,1124.17,15461.45,28,7.27
Slim01,herbal weight loss products,BROAD,2026-01-14,9,1,12.34,12.34,0.00,0,0.00
Slim01,naturacare naturals weight loss powder,BROAD,2026-01-14,186,1,13.74,10.99,0.00,0,0.00
Slim01,naturacare weight loss powder,BROAD,2026-01-14,155,6,15.15,78.79,0.00,0,0.00
Slim01,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,1,1,12.04,12.04,0.00,0,0.00
Slim01,natural weight loss powder,PHRASE,2026-01-14,21,5,33.89,135.56,338.34,1,40.07
Slim01,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,566,14,10.60,116.56,0.00,0,0.00
Slim01,weight loss powder,PHRASE,2026-01-14,115,5,15.60,62.42,933.82,2,6.68
Slim02,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,6913,170,19.42,2679.50,26475.37,26,10.12
Slim02,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,106,1,30.67,30.67,0.00,0,0.00
Slim02,naturacare naturals,PHRASE,2026-01-14,146,2,18.84,33.29,0.00,0,0.00
Slim02,naturacare naturals,BROAD,2026-01-14,17,0,30.67,7.16,0.00,0,0.00
Slim02,naturacare naturals weight loss powder,BROAD,2026-01-14,265,4,10.56,33.78,0.00,0,0.00
Slim02,naturacare weight loss powder,BROAD,2026-01-14,85,6,17.82,85.56,1303.46,1,6.56
Slim02,natural weight loss powder,PHRASE,2026-01-14,17,1,19.67,19.67,346.66,0,5.67
Slim02,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,3432,49,29.67,1186.79,1303.46,1,91.05
Slim02,weight loss kit,EXACT,2026-01-14,772,1,94.23,94.23,0.00,0,0.00
Slim02,weight loss powder,PHRASE,2026-01-14,96,1,9.06,9.06,956.78,1,0.95
sunscreendrops50ml,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,4,1,11.86,5.93,0.00,0,0.00
sunscreendrops50ml,naturacare naturals,BROAD,2026-01-14,26,0,11.08,2.58,92.90,0,2.78
sunscreendrops50ml,naturacare naturals,PHRASE,2026-01-14,223,2,6.80,12.02,712.85,2,1.69
sunscreendrops50ml,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,2,1,6.06,3.03,0.00,0,0.00
XA-UIID-K1KF,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,12,0,11.36,3.13,0.00,0,0.00
XA-UIID-K1KF,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,7,1,18.31,7.58,0.00,0,0.00
XA-UIID-K1KF,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,4,1,12.14,13.39,0.00,0,0.00
XA-UIID-K1KF,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,257,3,13.26,29.27,0.00,0,0.00
Y0-LR81-7OHE,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,9,1,8.50,6.45,0.00,0,0.00
Y0-LR81-7OHE,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,6,1,13.70,15.59,0.00,0,0.00
Y0-LR81-7OHE,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,3,4,9.08,27.56,0.00,0,0.00
Y0-LR81-7OHE,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,199,7,9.93,60.24,0.00,0,0.00
YF-QA0C-YDO2,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,9,0,11.61,1.60,0.00,0,0.00
YF-QA0C-YDO2,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,6,0,18.72,3.87,0.00,0,0.00
YF-QA0C-YDO2,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,3,1,12.41,6.85,0.00,0,0.00
YF-QA0C-YDO2,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-14,212,1,13.56,14.97,0.00,0,0.00
07-IRQL-T5BS,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,4,2,15.25,30.50,0.00,0,0.00
09-NY8V-51DZ,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,26,1,12.22,10.86,0.00,0,0.00
09-NY8V-51DZ,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,3,1,19.54,8.68,0.00,0,0.00
09-NY8V-51DZ,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,0,0,3.77,0.84,0.00,0,0.00
09-NY8V-51DZ,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,4,1,17.98,7.99,0.00,0,0.00
2V-LWYR-38TF,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,0,0,2.82,0.40,0.00,0,0.00
2V-LWYR-38TF,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,2,0,22.99,3.28,0.00,0,0.00
2V-LWYR-38TF,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,1,0,6.30,1.80,0.00,0,0.00
2V-LWYR-38TF,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,10,1,19.71,8.45,0.00,0,0.00
54-N90S-Z2EK,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,50,4,16.01,57.49,578.06,2,9.94
54-N90S-Z2EK,herbal bathing powder,PHRASE,2026-01-15,10,1,55.53,55.53,516.65,1,10.75
54-N90S-Z2EK,naturacare natural,PHRASE,2026-01-15,776,4,19.58,58.73,0.00,0,0.00
54-N90S-Z2EK,naturacare naturals,BROAD,2026-01-15,67,2,26.75,43.78,100.68,0,43.48
54-N90S-Z2EK,naturacare naturals,PHRASE,2026-01-15,520,16,8.43,112.61,415.98,1,27.07
54-N90S-Z2EK,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,293,18,17.03,244.47,163.38,0,149.63
54-N90S-Z2EK,nalangu maavu,EXACT,2026-01-15,148,4,16.54,49.62,516.65,1,9.60
54-N90S-Z2EK,nalangu maavu,BROAD,2026-01-15,351,22,14.14,254.60,516.65,1,49.28
54-N90S-Z2EK,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,847,12,7.25,72.87,291.87,1,24.96
6A-X1F7-F5Q6,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,4,1,15.48,15.48,0.00,0,0.00
6A-X1F7-F5Q6,naturacare naturals,PHRASE,2026-01-15,589,11,10.64,94.76,1065.66,3,8.89
6A-X1F7-F5Q6,naturacare naturals,BROAD,2026-01-15,76,1,33.77,36.84,257.91,1,14.28
6A-X1F7-F5Q6,naturacare saffron night gel,PHRASE,2026-01-15,2,2,3.10,6.21,458.59,1,1.35
6A-X1F7-F5Q6,night gel,BROAD,2026-01-15,9,1,18.32,18.32,0.00,0,0.00
6A-X1F7-F5Q6,saffron gel,PHRASE,2026-01-15,9,1,13.02,13.02,0.00,0,0.00
6A-X1F7-F5Q6,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,11,4,7.59,22.78,458.61,1,4.97
6Z-V54C-G5K5,naturacare naturals,BROAD,2026-01-15,46,0,61.20,13.35,0.00,0,0.00
6Z-V54C-G5K5,naturacare naturals,PHRASE,2026-01-15,362,2,19.28,34.35,0.00,0,0.00
abcmalt-200g,abc malt powder,EXACT,2026-01-15,448,7,17.87,107.20,0.00,0,0.00
abcmalt-200g,abc milk mix powder,PHRASE,2026-01-15,299,4,18.38,55.13,0.00,0,0.00
abcmalt-200g,abc mix powder,PHRASE,2026-01-15,462,1,20.78,20.78,0.00,0,0.00
abcmalt-200g,abc mix powder,EXACT,2026-01-15,695,4,34.18,102.53,0.00,0,0.00
abcmalt-200g,abc powder,PHRASE,2026-01-15,84,2,17.64,35.28,0.00,0,0.00
abcmalt-200g,abc powder for drinking,EXACT,2026-01-15,197,2,19.62,39.24,0.00,0,0.00
abcmalt-200g,naturacare naturals,BROAD,2026-01-15,18,0,12.50,4.09,114.16,0,3.58
abcmalt-200g,naturacare naturals,PHRASE,2026-01-15,143,3,3.94,10.53,471.68,1,2.23
abcmalt-200g,malt powder,PHRASE,2026-01-15,617,17,15.26,213.62,585.84,1,36.46
AE-3VXL-VU22,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-15,15,1,16.81,8.41,0.00,0,0.00
